801091147,,,,,,,,,,
Date,Sensor1 (S1),Sensor2 (S2),Level (AI_1),Level (AI_2),Level (AI_4),Level (AI_5),FlowMeter Total (DI_1),FlowMeter Total (DI_2),FlowMeter Total (DI_3),FlowMeter Total (DI_4)
,Blr1 TDS,Blr 2 TDS,WT-3459,WT-3730,WT-3516,PP-3060M,Blr 1 FW Meter,Blr 2 FW Meter,RO Make Up,Boiler Make Up
,µS,µS,Gallons,Gallons,Gallons,Gallons,Gallons,Gallons,Gallons,Gallons
11/10/2011 16:18,949.34,950.27,116,144,113,139,122215320,93986952,13352117,9950267
11/10/2011 16:28,949.34,949.34,116,144,113,139,122215888,93987248,13352333,9950384
11/10/2011 16:38,949.34,949.34,116,144,113,139,122216448,93987520,13352550,9950421
11/10/2011 16:48,949.34,949.34,117,144,113,139,122217016,93987816,13352765,9950421
11/10/2011 16:58,949.34,949.34,117,144,113,139,122217600,93988160,13352974,9950421
11/10/2011 17:08,949.34,949.34,117,144,113,139,122218192,93988512,13352974,9950421
11/10/2011 17:18,949.34,949.34,116,144,113,139,122218776,93988856,13352974,9950421
11/10/2011 17:28,949.34,949.34,116,144,113,139,122219352,93989192,13352974,9950421
11/10/2011 17:38,949.34,949.34,116,145,113,139,122219936,93989544,13352974,9950421
11/10/2011 17:48,949.34,949.34,117,144,113,139,122220528,93989904,13352974,9950421
11/10/2011 17:58,809.28,949.34,117,144,113,139,122221144,93990264,13352974,9950421
11/10/2011 18:08,698.94,949.34,117,144,113,139,122221784,93990600,13352974,9950421
11/10/2011 18:18,949.87,949.34,116,144,113,139,122222400,93990896,13352974,9950421
11/10/2011 18:28,949.87,941.02,116,144,113,139,122223056,93991472,13352974,9950421
11/10/2011 18:38,949.87,951.6,117,144,113,139,122223888,93992264,13353027,9950421
11/10/2011 18:48,949.87,948.79,116,144,113,139,122224736,93992968,13353209,9950421
11/10/2011 18:58,949.87,948.79,117,144,113,139,122225576,93993680,13353390,9950421
11/10/2011 19:08,949.87,948.79,116,144,113,139,122226448,93994448,13353398,9950421
11/10/2011 19:18,949.87,948.79,116,144,113,139,122227328,93995232,13353398,9950421
11/10/2011 19:28,949.87,948.79,116,145,113,139,122228176,93996000,13353398,9950421
11/10/2011 19:38,949.87,948.79,116,144,113,139,122229040,93996752,13353398,9950421
11/10/2011 19:48,949.87,948.79,116,145,113,139,122229872,93997472,13353398,9950421
11/10/2011 19:58,949.87,948.79,116,145,113,139,122230688,93998184,13353398,9950421
11/10/2011 20:08,949.87,948.79,117,145,113,139,122231520,93998904,13353398,9950421
11/10/2011 20:18,1115.1,948.79,116,144,113,139,122232384,93999704,13353546,9950421
11/10/2011 20:28,706.41,948.79,116,144,113,139,122233304,94000496,13353698,9950421
11/10/2011 20:38,945.16,948.79,116,144,113,139,122234216,94001264,13353698,9950425
11/10/2011 20:48,945.16,944.63,116,144,113,139,122235056,94002064,13353698,9950508
11/10/2011 20:58,945.16,943.61,116,144,113,139,122235912,94002848,13353698,9950648
11/10/2011 21:08,945.16,943.61,116,144,113,139,122236736,94003560,13353698,9950716
11/10/2011 21:18,945.16,943.61,116,144,113,139,122237568,94004304,13353698,9950742
11/10/2011 21:28,945.16,943.61,116,144,113,139,122238400,94005040,13353729,9950742
11/10/2011 21:38,945.16,943.61,116,145,113,139,122239232,94005752,13353911,9950813
11/10/2011 21:48,945.16,943.61,116,144,113,139,122240056,94006488,13354091,9950857
11/10/2011 21:58,945.16,943.61,116,144,113,139,122240888,94007208,13354242,9950921
11/10/2011 22:08,945.16,943.61,116,144,113,139,122241704,94007912,13354242,9950992
11/10/2011 22:18,945.16,943.61,116,144,113,139,122242520,94008624,13354242,9951041
11/10/2011 22:28,945.16,943.61,116,144,113,139,122243344,94009328,13354242,9951069
11/10/2011 22:38,1394.74,943.61,116,144,113,139,122244176,94010056,13354242,9951116
11/10/2011 22:48,480.67,943.61,116,144,113,139,122245056,94010776,13354242,9951209
11/10/2011 22:58,471.54,950.87,116,144,113,139,122245936,94011528,13354242,9951382
11/10/2011 23:08,947.27,948.53,116,144,113,139,122246776,94012296,13354242,9951545
11/10/2011 23:18,947.27,948.53,116,145,113,139,122247616,94013016,13354252,9951546
11/10/2011 23:28,947.27,948.53,116,144,113,139,122248440,94013744,13354472,9951546
11/10/2011 23:38,947.27,948.53,116,144,113,139,122249256,94014448,13354688,9951622
11/10/2011 23:48,947.27,948.53,116,144,113,139,122250064,94015168,13354902,9951680
11/10/2011 23:58,947.27,948.53,116,144,113,139,122250896,94015912,13355075,9951704
11/11/2011 0:08,947.27,948.53,116,144,113,139,122251720,94016648,13355075,9951766
11/11/2011 0:18,947.27,948.53,116,144,113,139,122252536,94017344,13355075,9951815
11/11/2011 0:28,947.27,948.53,116,144,113,139,122253352,94018056,13355075,9951815
11/11/2011 0:38,947.27,948.53,116,144,113,139,122254184,94018768,13355075,9951870
11/11/2011 0:48,947.27,948.53,116,144,113,139,122255008,94019496,13355075,9951909
11/11/2011 0:58,947.27,948.53,116,144,113,139,122255816,94020208,13355075,9951948
11/11/2011 1:08,471.63,964.7,116,144,113,139,122256664,94020944,13355206,9952068
11/11/2011 1:18,469.97,947.03,116,144,113,139,122257584,94021744,13355371,9952279
11/11/2011 1:28,946.14,947.03,116,144,113,139,122258456,94022496,13355535,9952402
11/11/2011 1:38,946.14,947.03,116,144,113,139,122259280,94023208,13355716,9952424
11/11/2011 1:48,946.14,947.03,116,144,113,139,122260128,94023960,13355894,9952424
11/11/2011 1:58,946.14,947.03,116,144,113,139,122260960,94024704,13356073,9952465
11/11/2011 2:08,946.14,947.03,116,144,113,139,122261808,94025440,13356085,9952529
11/11/2011 2:18,946.14,947.03,116,144,113,139,122262648,94026184,13356085,9952567
11/11/2011 2:28,946.14,947.03,116,144,113,139,122263472,94026904,13356085,9952650
11/11/2011 2:38,946.14,947.03,116,144,113,139,122264296,94027632,13356085,9952724
11/11/2011 2:48,946.14,947.03,116,144,113,139,122265136,94028360,13356085,9952763
11/11/2011 2:58,946.14,947.03,116,144,113,139,122265968,94029088,13356085,9952775
11/11/2011 3:08,946.14,947.03,116,144,113,139,122266800,94029808,13356091,9952775
11/11/2011 3:18,946.14,973.49,116,144,113,139,122267632,94030560,13356293,9952851
11/11/2011 3:28,828.35,949.45,116,144,113,139,122268520,94031368,13356490,9953003
11/11/2011 3:38,542.83,948.42,116,144,113,139,122269424,94032120,13356686,9953191
11/11/2011 3:48,737.78,948.42,116,144,113,139,122270304,94032856,13356880,9953328
11/11/2011 3:58,942.91,948.42,116,144,113,139,122271184,94033584,13357084,9953452
11/11/2011 4:08,942.91,948.42,116,144,113,139,122272008,94034312,13357219,9953521
11/11/2011 4:18,942.91,948.42,116,144,113,139,122272856,94035056,13357219,9953545
11/11/2011 4:28,942.91,948.42,116,144,113,139,122273688,94035792,13357219,9953568
11/11/2011 4:38,942.91,948.42,116,144,113,139,122274504,94036496,13357219,9953633
11/11/2011 4:48,942.91,948.42,116,144,113,139,122275344,94037224,13357219,9953671
11/11/2011 4:58,942.91,948.42,116,144,113,139,122276168,94037968,13357219,9953720
11/11/2011 5:08,942.91,948.42,116,144,113,139,122277000,94038696,13357219,9953773
11/11/2011 5:18,942.91,948.42,116,144,113,138,122277816,94039416,13357219,9953805
11/11/2011 5:28,942.91,948.42,116,144,113,139,122278656,94040160,13357261,9953871
11/11/2011 5:38,942.91,966.54,116,144,113,139,122279488,94040928,13357460,9953964
11/11/2011 5:48,942.91,949.6,116,144,113,138,122280312,94041720,13357656,9954073
11/11/2011 5:58,597.13,949.6,116,144,113,139,122281160,94042448,13357852,9954169
11/11/2011 6:08,475.79,949.6,116,144,113,138,122282032,94043184,13357964,9954332
11/11/2011 6:18,474.2,949.6,116,144,113,139,122282952,94043944,13357964,9954449
11/11/2011 6:28,473.63,949.6,116,144,113,138,122283848,94044696,13357964,9954625
11/11/2011 6:38,945.17,949.6,116,144,113,139,122284680,94045400,13357964,9954691
11/11/2011 6:48,945.17,949.6,116,144,113,139,122285528,94046176,13357964,9954709
11/11/2011 6:58,945.17,949.6,116,144,113,139,122286368,94046920,13357964,9954762
11/11/2011 7:08,945.17,949.6,116,144,113,139,122287208,94047656,13357964,9954800
11/11/2011 7:18,945.17,949.6,116,144,113,139,122288040,94048368,13357964,9954862
11/11/2011 7:28,945.17,949.6,116,144,113,139,122288880,94049120,13357964,9954902
11/11/2011 7:38,945.17,949.6,116,144,113,139,122289720,94049840,13357964,9954973
11/11/2011 7:48,945.17,1214.77,116,144,113,139,122290560,94050584,13357964,9955011
11/11/2011 7:58,945.17,963.03,116,144,113,138,122291400,94051368,13357964,9955083
11/11/2011 8:08,945.17,952.92,116,144,113,139,122292256,94052176,13357964,9955236
11/11/2011 8:18,945.17,943.57,116,144,113,139,122293112,94052984,13357964,9955373
11/11/2011 8:28,945.17,943.57,116,144,113,139,122293960,94053736,13357964,9955433
11/11/2011 8:38,477.48,943.57,116,144,113,139,122294864,94054512,13357964,9955486
11/11/2011 8:48,469.62,943.57,116,144,113,139,122295776,94055264,13357964,9955655
11/11/2011 8:58,949.55,943.57,116,144,113,139,122296672,94056056,13357964,9955752
11/11/2011 9:08,949.55,943.57,116,144,113,139,122297536,94056824,13358127,9955836
11/11/2011 9:18,949.55,943.57,116,144,113,138,122298384,94057544,13358306,9955910
11/11/2011 9:28,949.55,943.57,116,144,113,138,122299216,94058288,13358486,9955928
11/11/2011 9:38,949.55,943.57,116,144,113,138,122300072,94059048,13358661,9955982
11/11/2011 9:48,949.55,943.57,116,144,113,138,122300920,94059792,13358826,9956020
11/11/2011 9:58,949.55,943.57,116,144,113,138,122301776,94060544,13358990,9956066
11/11/2011 10:08,949.55,943.57,116,144,113,138,122302616,94061288,13359153,9956116
11/11/2011 10:18,949.55,977.75,116,144,113,138,122303480,94062064,13359316,9956199
11/11/2011 10:28,949.55,955,116,144,113,138,122304352,94062880,13359477,9956324
11/11/2011 10:38,949.55,948.68,116,144,113,138,122305200,94063664,13359634,9956438
11/11/2011 10:48,949.55,948.68,116,144,113,138,122306024,94064376,13359796,9956496
11/11/2011 10:58,1050.33,948.68,116,144,113,138,122306864,94065128,13359975,9956546
11/11/2011 11:08,968.9,948.68,116,144,113,138,122307776,94065864,13360153,9956673
11/11/2011 11:18,773.67,948.68,116,144,113,138,122308672,94066632,13360327,9956808
11/11/2011 11:28,948.63,948.68,116,144,113,138,122309544,94067376,13360332,9956917
11/11/2011 11:38,948.63,948.68,116,144,113,138,122310360,94068096,13360332,9956995
11/11/2011 11:48,948.63,948.68,116,144,113,138,122311200,94068864,13360332,9957017
11/11/2011 11:58,948.63,948.68,116,144,113,138,122312040,94069600,13360332,9957017
11/11/2011 12:08,948.63,948.68,116,144,113,138,122312872,94070328,13360332,9957111
11/11/2011 12:18,948.63,948.68,116,144,113,138,122313712,94071072,13360332,9957152
11/11/2011 12:28,948.63,948.68,116,144,113,138,122314544,94071816,13360332,9957231
11/11/2011 12:38,948.63,974.14,116,144,113,138,122315368,94072592,13360332,9957291
11/11/2011 12:48,948.63,947.03,116,144,113,138,122316216,94073432,13360332,9957444
11/11/2011 12:58,948.63,949.35,116,144,113,138,122317040,94074208,13360332,9957550
11/11/2011 13:08,948.63,949.35,116,144,113,138,122317856,94074944,13360332,9957629
11/11/2011 13:18,948.63,949.35,116,144,113,138,122318696,94075704,13360332,9957671
11/11/2011 13:28,477.3,949.35,116,144,113,138,122319552,94076496,13360332,9957708
11/11/2011 13:38,468.8,949.35,116,144,113,138,122320432,94077240,13360332,9957836
11/11/2011 13:48,944,949.35,116,144,113,138,122321280,94078008,13360332,9957907
11/11/2011 13:58,944,949.35,116,144,113,138,122322136,94078792,13360332,9957963
11/11/2011 14:08,944,949.35,116,144,113,138,122322968,94079544,13360332,9958033
11/11/2011 14:18,944,949.35,116,144,113,138,122323792,94080272,13360332,9958083
11/11/2011 14:28,944,949.35,116,144,113,138,122324632,94081040,13360332,9958121
11/11/2011 14:38,944,949.35,116,144,113,138,122325464,94081784,13360332,9958177
11/11/2011 14:48,944,949.35,116,144,113,138,122326288,94082536,13360332,9958180
11/11/2011 14:58,944,965.6,116,144,113,138,122327120,94083320,13360332,9958245
