 0910050301,,,,,,,,,,,,,,,
Date,Sensor1 (S1),Sensor2 (S2),Sensor3 (S3),Sensor4 (S4),Sensor Temperature1 (S1),Sensor Temperature2 (S2),Sensor Temperature3 (S3),Level(AI_1),Level(AI_2),Level(AI_3),Paddlewheel FlowMeter Rate(DI_6),Contact FlowMeter Total(DI_1),Contact FlowMeter Total(DI_2),Contact FlowMeter Total(DI_3),Paddlewheel FlowMeter Total(DI_6)
,Blr1 TDS,Blr2 TDS,Blr3 TDS,Sensor4,Blr1 TDS,Blr2 TDS,Blr3 TDS,PP3060M,WT3459,CQ3535,Boiler MU,CQ-3535,WT-3459,PP-3060M,Boiler MU
,µS,µS,µS,,F,F,F,Gallons,Gallons,Gallons,GPM,Gallons,Gallons,Gallons,Gallons
11/2/2011 0:34,1982.07,2015.78,21.76,     N/A,335,287,169,78,53,55,33.29,0,0.03,0.01,627.54
11/2/2011 0:54,1982.07,1994.58,21.76,     N/A,335,302,169,78,53,55,30.97,0,0.04,0.01,961.11
11/2/2011 1:14,1982.07,1994.58,21.76,     N/A,335,302,169,78,53,55,1.47,0,0.06,0.02,1382.54
11/2/2011 1:34,1984.54,1994.58,21.76,     N/A,332,302,169,78,53,55,0.74,0,0.08,0.02,1757.41
11/2/2011 1:54,1984.54,1634.12,21.76,     N/A,332,297,169,78,53,55,1.47,0,0.09,0.03,1995.77
11/2/2011 2:14,1984.54,1982.53,21.76,     N/A,332,302,169,78,53,55,33.29,0.01,0.11,0.03,2398.85
11/2/2011 2:34,1898.44,1982.53,26.39,     N/A,326,302,160,78,53,55,32.46,0.01,0.12,0.03,2653.47
11/2/2011 2:54,1987.94,1982.53,26.39,     N/A,330,302,160,78,53,55,9.3,0.01,0.12,0.03,2729.01
11/2/2011 3:14,1987.94,1855.21,26.39,     N/A,330,298,160,78,53,55,31.71,0.01,0.13,0.04,2846.24
11/2/2011 3:34,1987.94,1978.8,26.39,     N/A,330,302,160,78,53,55,0.74,0.01,0.14,0.04,3061.32
11/2/2011 3:54,1982.97,1978.8,26.39,     N/A,333,302,160,78,53,55,0,0.01,0.14,0.04,3079.07
11/2/2011 4:14,1982.97,1978.8,26.39,     N/A,333,302,160,78,53,55,0,0.01,0.14,0.04,3141.11
11/2/2011 4:34,1982.97,1993.71,26.39,     N/A,333,300,160,78,53,55,0,0.01,0.15,0.04,3433.99
